,Title,Director,Year,Length,budget,rating,Action,Animation,Comedy,Drama,Documentary,Romance,Short
2,Donovan's Reef,Ford	 John,1963,109.0,2686585.0,6.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0
6,Desperately Seeking Susan,Seidelman	 Susan,1985,104.0,4500000.0,5.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0
7,Blood Alley,Wellman	 William,1955,115.0,2000000.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Creepshow,Romero	 George A.,1982,120.0,8000000.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Batman,Burton	 Tim,1989,126.0,35000000.0,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Gandhi,Attenborough	 Richard,1982,188.0,22000000.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,Airport,Seaton	 George,1970,137.0,10000000.0,6.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,Easy Rider,Hopper	 Dennis,1969,94.0,340000.0,7.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0
19,Goldfinger,Hamilton	 Guy,1964,112.0,3000000.0,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Black Rain,Scott	 Ridley,1989,125.0,14000000.0,6.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0
27,Dangerous Liaisons,Frears	 Stephen,1988,119.0,14000000.0,7.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,Do the Right Thing,Lee	 Spike,1989,120.0,6500000.0,7.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0
29,Chinatown,Polanski	 Roman,1974,131.0,6000000.0,8.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,Flame of Barbary Coast,Kane	 Joseph,1945,91.0,600000.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Beverly Hills Cop,Brest	 Martin,1984,105.0,15000000.0,7.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Grand Hotel,Goulding	 Edmund,1932,112.0,700000.0,7.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,Blade Runner,Scott	 Ridley,1982,117.0,28000000.0,8.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45,Dick Tracy,Beatty	 Warren,1990,105.0,47000000.0,5.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,Guess Who's Coming to Dinner,Kramer	 Stanley,1967,108.0,4000000.0,7.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0
52,Born on the Fourth of July,Stone	 Oliver,1989,145.0,14000000.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,Days of Thunder,Scott	 Tony,1990,107.0,60000000.0,5.4,1.0,0.0,0.0,1.0,0.0,1.0,0.0
68,Arthur,Gordon	 Steve,1981,97.0,7000000.0,6.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
71,Big Jim McLain,Ludwig	 Edward,1952,90.0,826000.0,4.3,1.0,0.0,0.0,1.0,0.0,1.0,0.0
76,Blue Velvet,Lynch	 David,1986,120.0,6000000.0,7.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,Coming to America,Landis	 John,1988,116.0,28000000.0,6.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88,Driving Miss Daisy,Beresford	 Bruce,1989,99.0,7500000.0,7.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0
89,Giant,Stevens	 George,1956,201.0,5400000.0,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,Bird,Eastwood	 Clint,1988,161.0,9000000.0,7.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103,Firefox,Eastwood	 Clint,1982,136.0,21000000.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Down by Law,Jarmusch	 Jim,1986,107.0,1100000.0,7.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0
109,Cyborg,Pyun	 Albert,1989,86.0,2000000.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
