66
Xbox 360,$25,CHICO CA,posted:2018-03-29 12:47,https://chico.craigslist.org/ele/d/xbox-360/6546569930.html
XBOX ONE +XBOX ONE S,$250,GREENVILLE CA,posted:2018-03-29 10:32,https://chico.craigslist.org/vgm/d/xbox-one-xbox-one/6540888988.html
Xbox 1 w/7 games,$175,OROVILLE,posted:2018-03-28 08:16,https://chico.craigslist.org/ele/d/xbox-1-7-games/6545292769.html
I BUY VIDEO GAMES!!!,$1234,CHICO,posted:2018-03-27 19:21,https://chico.craigslist.org/for/d/buy-video-games/6523508061.html
Xbox one s with tons of extras,$350,None,posted:2018-03-26 20:19,https://chico.craigslist.org/vgm/d/xbox-one-with-tons-of-extras/6544035153.html
Xbox One Modded Controllers,$20,CHICO,posted:2018-03-26 17:52,https://chico.craigslist.org/ele/d/xbox-one-modded-controllers/6543944050.html
Xbox 360 Elite and Extras!!!,$80,PARADISE,posted:2018-03-26 16:59,https://chico.craigslist.org/vgm/d/xbox-360-elite-and-extras/6513500427.html
Xbox Live Gold 12 Month Membership,$45,CHICO,posted:2018-03-26 10:59,https://chico.craigslist.org/vgm/d/xbox-live-gold-12-month/6543510658.html
Xbox One w/ Guitar Hero Live,$200,None,posted:2018-03-25 20:02,https://chico.craigslist.org/ele/d/xbox-one-guitar-hero-live/6543010284.html
Xbox One S with extras,$280,None,posted:2018-03-25 13:40,https://chico.craigslist.org/ele/d/xbox-one-with-extras/6542726005.html
Xbox 360 System with 7 Games and Accessories,$75,MAGALIA,posted:2018-03-25 12:53,https://chico.craigslist.org/vgm/d/xbox-360-system-with-7-games/6531750476.html
Xbox 360 Games,$5,OROVILLE,posted:2018-03-25 11:49,https://chico.craigslist.org/vgm/d/xbox-360-games/6517302130.html
Xbox One S GOW Limited Edition Console,$450,None,posted:2018-03-23 22:17,https://chico.craigslist.org/ele/d/xbox-one-gow-limited-edition/6541317276.html
Xbox 360,$25,MAGALIA,posted:2018-03-23 18:44,https://chico.craigslist.org/vgm/d/xbox-360/6541225892.html
XBox 360 games,$6,MAGALIA,posted:2018-03-23 17:21,https://chico.craigslist.org/vgm/d/xbox-360-games/6541170182.html
Xbox One,$250,CHICO,posted:2018-03-22 17:45,https://chico.craigslist.org/vgm/d/xbox-one/6540172405.html
Xbox One,$200,PARADISE,posted:2018-03-22 11:33,https://chico.craigslist.org/vgm/d/xbox-one/6539745716.html
4 XBOX 360 SQUARE ENIX GAMES,$15,CHICO,posted:2018-03-22 06:23,https://chico.craigslist.org/vgm/d/4-xbox-360-square-enix-games/6539345981.html
Original xBox with controllers and more for sale! #Starwars,$50,CHICO,posted:2018-03-19 17:15,https://chico.craigslist.org/vgm/d/original-xbox-with/6536637190.html
XBOX 360 Console 3 controllers and HDMI cable,$25,None,posted:2018-03-19 12:49,https://chico.craigslist.org/vgm/d/xbox-360-console-3/6536310140.html
Original Xbox 500 Gig Harddrive,$165,CHICO NEAR AIRPORT,posted:2018-03-19 08:32,https://chico.craigslist.org/vgm/d/original-xbox-500-gig/6518324562.html
XBOX ONE W/ Controllers & Games Bundle!!!,$350,CHICO CA,posted:2018-03-19 03:24,https://chico.craigslist.org/ele/d/xbox-one-controllers-games/6535697725.html
Xbox 360 with 1 controller + games,$40,CHICO,posted:2018-03-18 14:54,https://chico.craigslist.org/ele/d/xbox-360-with-1-controller/6502433537.html
Xbox one s 500gb,$300,RED BLUFF,posted:2018-03-17 13:19,https://chico.craigslist.org/vgm/d/xbox-one-500gb/6534202954.html
Xbox 1 & 46 inch tv AG 9 wireless headset,$400,CHICO/OROVILLE,posted:2018-03-16 21:14,https://chico.craigslist.org/vgm/d/xbox-1-46-inch-tv-ag-9/6533499887.html
Xbox one,$200,None,posted:2018-03-15 17:45,https://chico.craigslist.org/ele/d/xbox-one/6532183347.html
PS4! Xbox One! PS3! Xbox 360!,None,OROVILLE,posted:2018-03-13 14:42,https://chico.craigslist.org/vgd/d/ps4-xbox-one-ps3-xbox-360/6505426153.html
Xbox One w/ Accessories,$200,TRUCKEE,posted:2018-03-09 18:51,https://chico.craigslist.org/vgm/d/xbox-one-accessories/6517388164.html
Xbox 360 silver,$120,CHICO,posted:2018-03-08 16:37,https://chico.craigslist.org/vgm/d/xbox-360-silver/6523719693.html
XBox One Gears of War 4 Special Edition Console: 500GB,$209,None,posted:2018-03-07 14:56,https://chico.craigslist.org/vgd/d/xbox-one-gears-of-war-4/6522338038.html
Xbox 360/ps2 and games,$150,CHICO,posted:2018-03-06 18:16,https://chico.craigslist.org/vgm/d/xbox-360-ps2-and-games/6521329597.html
4 XBOX 360 SQUARE ENIX GAMES,$15,CHICO,posted:2018-03-04 15:30,https://chico.craigslist.org/vgm/d/4-xbox-360-square-enix-games/6484240645.html
Xbox one,$200,OROVILLE,posted:2018-03-03 14:04,https://chico.craigslist.org/vgm/d/xbox-one/6516353055.html
xbox one,$200,None,posted:2018-03-02 15:47,https://chico.craigslist.org/vgm/d/xbox-one/6514986832.html
original Xbox,$100,OROVILLE,posted:2018-03-01 14:05,https://chico.craigslist.org/vgm/d/original-xbox/6491003691.html
Xbox one x,$600,OROVILLE,posted:2018-03-01 09:07,https://chico.craigslist.org/vgm/d/xbox-one/6509974453.html
Cash for your VIDEO GAMES!! ALL PLATFORMS,$99,CHICO,posted:2018-03-28 22:24,https://chico.craigslist.org/wan/d/cash-for-your-video-games-all/6530696510.html
TONS OF VIDEO GAMES FREE SHIPPING!!,$1,CHICO,posted:2018-03-28 22:24,https://chico.craigslist.org/vgm/d/tons-of-video-games-free/6535063618.html
Nintendo Wii U & Nintendo 3DS Game Sale,None,OROVILLE,posted:2018-03-27 22:22,https://chico.craigslist.org/vgm/d/nintendo-wii-nintendo-3ds/6542190023.html
I BUY VIDEO GAMES,$1234,CHICO,posted:2018-03-27 19:21,https://chico.craigslist.org/wan/d/buy-video-games/6523477219.html
For trade N64 harvest moon,None,OROVILLE,posted:2018-03-25 16:00,https://chico.craigslist.org/vgm/d/for-trade-n64-harvest-moon/6542840149.html
$$ Buying Video games and toys $$,$1000,CHICO,posted:2018-03-20 10:55,https://chico.craigslist.org/wan/d/buying-video-games-and-toys/6537265026.html
The Elder Scrolls V: Skyrim Legendary Edition,$13,CHICO,posted:2018-03-19 13:07,https://chico.craigslist.org/vgm/d/the-elder-scrolls-skyrim/6536299161.html
Twin bed frame with tent,None,None,posted:2018-03-18 12:40,https://chico.craigslist.org/fuo/d/twin-bed-frame-with-tent/6503045522.html
Sweet Repeats SPRING 2018 - Baby & Kid Sale - SAVE THE DATE!,None,CHICO CA,posted:2018-03-17 08:35,https://chico.craigslist.org/bab/d/sweet-repeats-spring-2018/6533831580.html
Sweet Repeats SPRING 2018 - Baby & Kid Sale - SAVE THE DATE!,None,CHICO CA,posted:2018-03-16 23:24,https://chico.craigslist.org/bab/d/sweet-repeats-spring-2018/6533553447.html
Three xbox one games ! (Nba 2k18 Madden 18 COD WW2!),$70,None,posted:2018-02-22 16:04,https://chico.craigslist.org/vgm/d/three-xbox-one-games-nba-2k18/6506663286.html
Video Games,None,OROVILLE,posted:2018-03-13 10:43,https://chico.craigslist.org/vgd/d/video-games/6496375756.html
$$ Buying Video games and toys $$,$1000,CHICO,posted:2018-03-13 10:17,https://chico.craigslist.org/wad/d/buying-video-games-and-toys/6529230467.html
Edifier S2000 Pros (High quality speakers),$300,None,posted:2018-03-13 05:35,https://chico.craigslist.org/ele/d/edifier-s2000-pros-high/6528892731.html
New HORSE TACK THRIFT STORE,$1,KELLY RIDGE/OROVILLE,posted:2018-03-12 15:30,https://chico.craigslist.org/for/d/new-horse-tack-thrift-store/6498323707.html
XBOX ONE,$200,CHICO CA,posted:2018-02-21 15:18,https://chico.craigslist.org/ele/d/xbox-one/6505379890.html
